Dataset name,num. rows,num. predictors,correlation,mean target,std target,MS Value
feynman_I_25_13,100000,2,False,1.2093876294459245,0.783805203785385,1.4411671978753566
feynman_I_29_4,100000,2,False,1.4179924958826422,1.3256313492331047,1.9411294700416883
feynman_III_12_43,100000,2,False,1.4294046914941236,0.8079236147713981,1.6419292956656264
feynman_I_39_1,100000,2,False,13.51813088446273,7.632997770657932,15.5242370166712
feynman_II_4_23,100000,3,False,0.03853546613744997,0.03343750998730248,0.05101997691013556
feynman_II_34_2,100000,3,False,13.557862933796907,9.688311059972905,16.66367546169528
feynman_III_7_38,100000,3,False,45.47862538210125,36.0250915281793,58.01809724721248
feynman_I_34_14,100000,3,False,3.9524021704112484,1.6201539656272388,4.2715752995845095
feynman_test_3,100000,4,False,-4.281136895949956,1.840850596297472,4.660131988736328
feynman_I_18_14,100000,4,False,1.657328969021863,25.517527599329476,25.57116428033641
feynman_I_43_43,100000,4,False,1.6684276781197314,1.5848952135560863,2.301199390783122
feynman_I_24_6,100000,4,False,18.839409966401202,14.493055802535828,23.76909619423695
